window_size,num_group,pattern_length,Pattern,F1,Accuracy,Precision,Recall
10,1,5,"[['g', 'g', '|', 'd', 'f']]",0.04545454545454546,0.7894736842105263,0.15384615384615385,0.02666666666666667
15,1,5,"[['b', '.*', 'd', '|', 'f']]",0.2167487684729064,0.6015037593984962,0.171875,0.29333333333333333
20,1,5,"[['d', '.*', 'c', '|', 'c']]",0.3187066974595843,0.2606516290726817,0.19273743016759776,0.92
10,1,6,"[['f', 'g', '|', 'b', '.*', 'g']]",0.05063291139240507,0.8120300751879699,0.5,0.02666666666666667
15,1,6,"[['a', '|', 'd', 'd', 'c', 'f']]",0.044444444444444446,0.7844611528822055,0.13333333333333333,0.02666666666666667
20,1,6,"[['e', 'g', '|', 'b', '|', 'd']]",0.2975929978118162,0.19548872180451127,0.17801047120418848,0.9066666666666666
10,1,7,"[['e', '|', 'a', 'a', '|', 'b', 'e']]",0.12631578947368421,0.7919799498746867,0.3,0.08
15,1,7,"[['g', 'e', 'd', 'c', '|', 'c', 'd']]",0.025316455696202535,0.8070175438596491,0.25,0.013333333333333334
20,1,7,"[['c', '|', 'c', 'd', 'g', '|', 'b']]",0.04545454545454546,0.7894736842105263,0.15384615384615385,0.02666666666666667
10,1,8,"[['b', '|', 'f', 'b', '|', 'e', 'd', 'e']]",0.2,0.7393483709273183,0.23636363636363636,0.17333333333333334
15,1,8,"[['d', '.*', 'd', '.*', 'd', 'd', '.*', 'f']]",0.31200000000000006,0.568922305764411,0.22285714285714286,0.52
20,1,8,"[['f', 'f', 'd', 'f', 'd', '.*', 'e', 'f']]",0.02631578947368421,0.8145363408521303,1.0,0.013333333333333334
10,1,9,"[['g', '|', 'f', 'f', 'e', 'e', 'e', 'g', 'f']]",0.0,0.8120300751879699,0.0,0.0
15,1,9,"[['g', 'b', '|', 'd', 'e', 'a', 'b', 'b', 'g']]",0.0,0.8120300751879699,0.0,0.0
20,1,9,"[['d', 'e', 'b', '|', 'g', 'c', '.*', 'c', 'd']]",0.02631578947368421,0.8145363408521303,1.0,0.013333333333333334
15,1,10,"[['c', 'f', 'e', 'd', '.*', 'e', 'b', '|', 'e', 'd']]",0.04878048780487805,0.8045112781954887,0.2857142857142857,0.02666666666666667
20,1,10,"[['g', 'e', 'c', 'g', '|', 'a', 'g', '.*', 'g', 'b']]",0.0,0.8120300751879699,0.0,0.0
15,1,11,"[['c', '.*', 'd', '.*', 'e', '|', 'e', 'd', 'e', '.*', 'd']]",0.18497109826589594,0.6466165413533834,0.16326530612244897,0.21333333333333335
20,1,11,"[['f', 'a', '.*', 'b', 'g', 'f', 'd', 'c', 'e', 'g', 'g']]",0.0,0.8120300751879699,0.0,0.0
15,1,12,"[['f', '.*', '.*', 'd', '|', 'e', 'a', 'e', 'f', '|', 'd', 'a']]",0.0,0.8120300751879699,0.0,0.0
20,1,12,"[['g', '.*', 'f', 'f', '|', 'e', 'b', 'f', 'e', 'c', 'e', 'f']]",0.0,0.8120300751879699,0.0,0.0
